delta,U_T1_concave,U_hat_IT2_concave,CenterGap_concave,Theory_minus_sumThetaDelta2,RhoBar,NuAlpha,WorstCase_Q5,CenterGap_linear
0,0.870808546101465,0.870808546101465,0,-0,0,0.870808546101465,0.870808546101465,0
0.05,0.8762010540181,0.8737010540181,-0.00250000000000006,-0.0025,0.033586085860634,0.856908011087783,0.851628824774613,0
0.1,0.88128390046722,0.87128390046722,-0.01,-0.01,0.0658035715033527,0.838382114715544,0.826323397652732,0
0.15,0.886066461623993,0.863566461623993,-0.0225,-0.0225,0.0967409008482508,0.815196011199868,0.794855968500384,0
0.2,0.890559114147083,0.850559114147083,-0.0399999999999999,-0.04,0.126485959871212,0.787316134211477,0.757712711082206,-1.11022302462516e-16
