N,Method,Class,NativeCriterion,ConvergedRate,RoundsMean,RoundsCI95,qHatMean,qHatCI95,CommonAlphaExploitabilityMean,CommonAlphaExploitabilityCI95,AvgPayoffMean,AvgPayoffCI95,WorstCaseQ5Mean,WorstCaseQ5CI95,RuntimeMeanSec,RuntimeCI95Sec,Certificate
20,Proposed IT2-W-FBRI,Proposed,max strategy-step L1,1,22,0,0.6831155640435,0,0.057125002042039,0,0.892559364327929,0,0.887847362300213,0,0.0073323,0,base Gamma_alpha certificate; focused point empirical
20,Isobe-APP,Convergence SOTA,outer-anchor L1,1,69,0,0.849530712457126,0,3.28843314201244e-06,0,0.965622509218015,0,0.933124114588886,0,0.0229396,0,none
20,RQE,Robust SOTA,quantal fixed-point L1,1,32,0,0.757116645758251,0,0.0877651837456452,0,0.838864803434105,0,0.835785147949984,0,0.4846696,0,none
20,MF-RQE,Robust SOTA,quantal fixed-point L1,1,29,0,0.728543796068186,0,0.0643011345918575,0,0.881358125607423,0,0.877208164266095,0,0.0502706,0,none
20,CVaR-game,Robust SOTA,mixed best-response fixed-point L1,1,28,0,0.700000000000027,0,8.34693067353065e-06,0,0.965615896287987,0,0.933114480263939,0,0.7566719,0,none
20,DRNE-VI,Robust SOTA,worst-distribution exploitability,0,300,0,0.991721255685723,0,0.00424866672834412,0,0.961821603615627,0,0.931835887807196,0,0.0250878,0,none
