GammaCE,Baseline,ProposedMinusBaselineCE,CI95Low,CI95High,PairedTPValue,HolmAdjustedP,EffectSizeDz,ProposedWinsThisBaseline,ProposedWinsAllComparable
0.55,Isobe-APP,0.222286207804616,0.221321462258051,0.223250953351181,2.64535871954129e-40,2.64535871954129e-40,107.834804702085,1,1
0.55,RQE,0.109987255653303,0.10965018919655,0.110324322110056,3.55820284206304e-43,1.06746085261891e-42,152.716531523876,1,1
0.55,MF-RQE,0.100155562402977,0.0998970934797791,0.100414031326175,1.35868556393562e-44,5.43474225574248e-44,181.353508606434,1,1
0.55,CVaR-game,0.0759184244564809,0.0758030469070853,0.0760338020058765,5.80723656375202e-49,2.90361828187601e-48,307.953467069275,1,1
0.55,DRNE-VI,0.0812204993550359,0.0809559552985364,0.0814850434115354,1.13222945877441e-42,2.26445891754883e-42,143.690107038377,1,1
