N,Seed,Alpha,Converged,Rounds,q_hat,FinalResidual,ExpectedPayoff,WorstCaseQ5,SCShare,RuntimeSec
50,42,0,1,16,0.700120233906094,9.30952832499943e-05,0.770441751875742,0.663382575521361,0.243776274291101,0.0043332
50,42,0.1,1,16,0.701013213808514,9.22406235555617e-05,0.771839954202975,0.661987559659815,0.250269687389607,0.0028558
50,42,0.2,1,17,0.703140410793153,7.65068728789675e-05,0.77322540902386,0.660532304751514,0.25678798051868,0.0030584
50,42,0.3,1,17,0.702761437135888,8.73150772743025e-05,0.774589905115089,0.659071936646723,0.263314605172992,0.0030229
50,42,0.4,1,17,0.702170836850368,9.73459940272203e-05,0.775935989611447,0.657586558725947,0.269847942164067,0.0046816
50,42,0.5,1,18,0.70144744439179,7.48096081374938e-05,0.777269083546004,0.65611208035887,0.276403322117119,0.0043353
50,42,0.6,1,18,0.701357737467075,8.21879082382737e-05,0.778577856994946,0.654588815347807,0.282942039497799,0.0025691
50,42,0.7,1,18,0.701125979531375,9.20027325540529e-05,0.779867028658656,0.653013232978082,0.289475845616455,0.0026478
50,42,0.8,1,19,0.699654234354425,7.07509549612295e-05,0.781141885715918,0.651433967455965,0.296021963170563,0.0029867
50,42,0.9,1,19,0.698234409815799,7.6506531681314e-05,0.782391509692714,0.64986912770553,0.302537903973265,0.0029927
50,42,1,1,19,0.696859096159269,8.18080177684977e-05,0.783620850708567,0.648258229309103,0.309039083258934,0.0032084
50,43,0,1,16,0.700108291376866,9.36909214211135e-05,0.770593244863983,0.663208261789629,0.243777633588116,0.0025419
50,43,0.1,1,16,0.700658936993549,9.21707546297501e-05,0.771995076889205,0.661793164198565,0.250271028909377,0.0025251
50,43,0.2,1,17,0.703135622163509,7.64647571932786e-05,0.773384068802059,0.660343779095067,0.256788907292512,0.0027836
50,43,0.3,1,17,0.702761710620915,8.72807626062788e-05,0.774752069526122,0.658901598740717,0.263315518962335,0.0031495
50,43,0.4,1,17,0.702174827311571,9.73191329459999e-05,0.77610159116936,0.657401450125686,0.26984884316935,0.0027669
50,43,0.5,1,18,0.701454269816323,7.47964535125767e-05,0.77743804259478,0.655877342154757,0.276403942446064,0.0026792
50,43,0.6,1,18,0.702340749176141,8.41413374502165e-05,0.778750117687164,0.654351251403101,0.282942650713664,0.0028128
50,43,0.7,1,18,0.701117064748029,9.39651178296363e-05,0.780042520813652,0.652823959076999,0.289476447918909,0.0026524
50,43,0.8,1,19,0.699677929085928,7.21324077206653e-05,0.781320536029687,0.651242705115749,0.296022376641571,0.0026538
50,43,0.9,1,19,0.698283829862198,7.78941961635804e-05,0.782573251812627,0.649647889343832,0.302538311221352,0.0026751
50,43,1,1,19,0.696929429365433,8.32016597800689e-05,0.783805614174761,0.648040824072006,0.309039484451739,0.0026441
50,44,0,1,16,0.700090837365888,9.08571575801709e-05,0.770993546232473,0.663527748958894,0.243778797593828,0.0025928
50,44,0.1,1,16,0.701093183074438,9.017197334657e-05,0.772407440674336,0.662064325793948,0.250272166288796,0.0025792
50,44,0.2,1,17,0.703160169552386,7.507270046192e-05,0.773808559033075,0.660550612120208,0.256789687232221,0.0025182
50,44,0.3,1,17,0.702783741883853,8.59000987251113e-05,0.775188846402114,0.659057198561055,0.263316279404122,0.0026075
50,44,0.4,1,17,0.702191727383827,9.59493868491479e-05,0.77655074533246,0.657541914961613,0.26984958442973,0.0027029
