N,Seed,Method,Class,Converged,Rounds,q_hat,FinalResidual,NativeCriterion,CommonAlphaExploitability,AvgPayoff,WorstCaseQ5,RuntimeSec,Certificate
20,42,Proposed IT2-W-FBRI,Proposed,1,22,0.6831155640435,8.72425070203332e-05,max strategy-step L1,0.057125002042039,0.892559364327929,0.887847362300213,0.0073323,base Gamma_alpha certificate; focused point empirical
20,42,Isobe-APP,Convergence SOTA,1,69,0.849530712457126,6.92784443849584e-05,outer-anchor L1,3.28843314201244e-06,0.965622509218015,0.933124114588886,0.0229396,none
20,42,RQE,Robust SOTA,1,32,0.757116645758251,7.84215097103108e-05,quantal fixed-point L1,0.0877651837456452,0.838864803434105,0.835785147949984,0.4846696,none
20,42,MF-RQE,Robust SOTA,1,29,0.728543796068186,8.44245931095888e-05,quantal fixed-point L1,0.0643011345918575,0.881358125607423,0.877208164266095,0.0502706,none
20,42,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454043e-05,mixed best-response fixed-point L1,8.34693067353065e-06,0.965615896287987,0.933114480263939,0.7566719,none
20,42,DRNE-VI,Robust SOTA,0,300,0.991721255685723,0.00506067452224113,worst-distribution exploitability,0.00424866672834412,0.961821603615627,0.931835887807196,0.0250878,none
