Method,Class,CE_g030,CE_g030_CI95,CE_g040,CE_g040_CI95,CE_g055,CE_g055_CI95,CE_g070,CE_g070_CI95,CE_g085,CE_g085_CI95
Proposed IT2-W-FBRI,Proposed,0.772489580727003,0,0.772161631592508,0,0.771669707890766,0,0.771177784189023,0,0.770685860487281,0
Isobe-APP,Convergence SOTA,0.698567116231224,0,0.656555383595848,0,0.593537784642784,0,0.530520185689719,0,0.467502586736655,0
RQE,Robust SOTA,0.739579367186428,0,0.723616625659666,0,0.699672513369523,0,0.67572840107938,0,0.651784288789238,0
MF-RQE,Robust SOTA,0.737660694825103,0,0.726447076481954,0,0.709626648967231,0,0.692806221452507,0,0.675985793937784,0
CVaR-game,Robust SOTA,0.736730456027587,0,0.736234073646077,0,0.735489500073812,0,0.734744926501546,0,0.734000352929281,0
DRNE-VI,Robust SOTA,0.757670231118529,0,0.746140423154226,0,0.728845711207773,0,0.711550999261319,0,0.694256287314865,0
