alpha,ExpectedPayoff,WorstCase_Q5,CE_gamma,DecisionMargin,SCShare,ConfigIndex,FOUScale_SC,ShockStrength
0,0.766938416535568,0.66299204437358,0.714965230454574,0.186851037397206,0.243776274291101,2,1.6,0.3
0.1,0.768238942934546,0.661569252575332,0.714904097754939,0.168397897741428,0.250269687389607,2,1.6,0.3
0.2,0.769526391513712,0.660123171811318,0.714824781662515,0.149887833181437,0.25678798051868,2,1.6,0.3
0.3,0.770792776638961,0.658651670118304,0.714722223378633,0.131322802703066,0.263314605172992,2,1.6,0.3
0.4,0.772040669801958,0.657158356101502,0.71459951295173,0.11270479718238,0.269847942164067,2,1.6,0.3
0.5,0.773275261985978,0.655642265908024,0.714458763947001,0.094036173785027,0.276403322117119,2,1.6,0.3
0.6,0.774485783233699,0.65410798554424,0.71429688438897,0.0753184512103678,0.282942039497799,2,1.6,0.3
0.7,0.775676775665368,0.652546183086768,0.714111479376068,0.0565539467920998,0.289475845616455,2,1.6,0.3
0.8,0.776853268026993,0.650962384018494,0.713907826022743,0.0377448187880018,0.296021963170563,2,1.6,0.3
0.9,0.778004960305508,0.649363935983281,0.713684448144395,0.0188927910477491,0.302537903973265,2,1.6,0.3
1,0.77913657126975,0.647749266940595,0.713442919105173,0,0.309039083258934,2,1.6,0.3
