Variant,Rounds,qHat,qTh,Converged,EpsNE,xV_SC,xV_SP,xV_DC,xV_DP,xR_SC,xR_SP,xE_SC,xE_DC,RepLambdaMaxT,RepMaxMargin,RepOsc
Homogeneous,23,0.701586645916622,0.918,1,0.0524102079417418,0.475706830661744,0.363116053214115,0.131581388854406,0.0295957272697351,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Heterogeneous,23,0.697779825553481,0.918,1,0.0519541326561661,0.472693340367249,0.363833213181534,0.133756578280688,0.0297168681705285,0.565297817077279,0.434702182922721,0.779746054225309,0.220253945774691,-0.0042112114335916,-0.0332499961714168,1.43875996395802e-06
