alpha,DistToOne_Uniform,StepSlope_Uniform,RhoVar_Uniform,DistToOne_Bell,StepSlope_Bell,RhoVar_Bell,Mass_SC,Mass_SP,Mass_DC,Mass_DP
0.1,3.56554285172707,NaN,0.0794258328156535,2.83959054690091,NaN,0.0844156348540514,0.345120126035411,0.300622805336996,0.211520975586704,0.142736093040889
0.2,3.19807701036,3.67465841367063,0.0792389598542074,2.50548545078112,3.34105096119794,0.0835027943182234,0.342484344501552,0.299917535909656,0.213228152003751,0.144369967585041
0.3,2.82343933461197,3.74637675748037,0.0790484446280672,2.17621999280669,3.29265457974423,0.0826036061128401,0.339889289968196,0.299219935863268,0.214915441261055,0.14597533290748
0.4,2.44161598183635,3.81823352775613,0.0788542647856277,1.84825384428757,3.27966148519125,0.0817081506601188,0.337313733601049,0.298515830745224,0.216593534019925,0.147576901633802
0.5,2.05260075521237,3.8901522662398,0.0786564013433788,1.52892552609498,3.19328318192589,0.0808371637964418,0.334800936620143,0.297835344544204,0.218240724627239,0.149122994208414
0.6,1.65639539417004,3.96205361042333,0.0784548388588305,1.21434847301796,3.14577053077024,0.0799797652896902,0.332327480146847,0.29716303048673,0.219869012612787,0.150640476753636
0.7,1.25300984879684,4.033855453732,0.0782495655984684,0.904488606368218,3.09859866649737,0.0791359108231751,0.329892882861965,0.296499029105115,0.221478724033394,0.152129363999527
0.8,0.842462535959027,4.10547312837814,0.0780405736995724,0.595934394999213,3.08554211369005,0.0782959058473158,0.327477216612062,0.295829153241327,0.223078789510255,0.153614840636355
0.9,0.424780574885352,4.17681961073674,0.0778278593247101,0.295687106195959,3.00247288803254,0.077479761053052,0.325120682935372,0.295183214029985,0.224651222180747,0.155044880853896
1,0,4.24780574885353,0.0776114228077046,0,2.95687106195959,0.0766768504772486,0.322801245240587,0.29454578066281,0.226206212519883,0.15644676157672
