Method,NominalPayoff,WorstCase_Q5,PayoffDrop,FlipRateMeanPct,FlipRateMaxPct,SoftShiftL1Mean
Greedy,0.955625,0.934396615415963,0.0212283845840365,3.33333333333333,100,NaN
Proposed,0.860808546101465,0.850250636615111,0.010557909486354,NaN,NaN,0.0504721914167193
