GammaCE,Baseline,ProposedMinusBaselineCE,CI95Low,CI95High,ProposedWinsThisBaseline,ProposedWinsAllComparable
0.55,Isobe-APP,0.222309719527067,0.220679903805322,0.223939535248812,1,1
0.55,RQE,0.100204626691103,0.0996841071769964,0.100725146205209,1,1
0.55,MF-RQE,0.094417287404873,0.093985109059352,0.0948494657503939,1,1
0.55,CVaR-game,0.0759835216420666,0.0758184596413271,0.0761485836428061,1,1
0.55,DRNE-VI,0.0749730415082502,0.0745484455040845,0.0753976375124158,1,1
