Gamma,AlphaStar,FamilyExpectedPayoffMean,FamilyExpectedPayoffCI95,FamilyWorstCaseQ5Mean,FamilyWorstCaseQ5CI95,FamilyCEMean,FamilyCECI95,BestAdaptiveMethod,BestAdaptiveCEMean,BestAdaptiveCECI95,FamilyMinusBestAdaptiveCE,FamilyBeatsAdaptiveEnvelope,BestFixedMethod,BestFixedCEMean,FamilyMinusBestFixedCE,FamilyBeatsFixedEnvelope,NumSeeds
0.3,1,0.777639950497068,0,0.651062735649678,0,0.739666786042851,0,DRNE-VI,0.757670231118529,0,-0.018003445075678,0,Proposed IT2-W-FBRI,0.772489580727003,-0.0328227946841525,0,1
0.4,1,0.777639950497068,0,0.651062735649678,0,0.727009064558112,0,DRNE-VI,0.746140423154226,0,-0.0191313585961145,0,Proposed IT2-W-FBRI,0.772161631592508,-0.0451525670343965,0,1
0.55,0,0.765532625029525,0,0.665665526480058,0,0.710605720827318,0,CVaR-game,0.735489500073812,0,-0.0248837792464931,0,Proposed IT2-W-FBRI,0.771669707890766,-0.0610639870634474,0,1
0.7,0,0.765532625029525,0,0.665665526480058,0,0.695625656044898,0,CVaR-game,0.734744926501546,0,-0.0391192704566481,0,Proposed IT2-W-FBRI,0.771177784189023,-0.0755521281441249,0,1
0.85,0,0.765532625029525,0,0.665665526480058,0,0.680645591262478,0,CVaR-game,0.734000352929281,0,-0.053354761666803,0,Proposed IT2-W-FBRI,0.770685860487281,-0.0900402692248025,0,1
