N,Method,Class,ConvergedRate,RoundsMean,RoundsCI95,qHatMean,qHatCI95,ExpectedPayoffMean,ExpectedPayoffCI95,WorstCaseQ5Mean,WorstCaseQ5CI95,CEGammaMean,CEGammaCI95,PayoffDegradationMean,PayoffDegradationCI95,SCShareMean,SCShareCI95,RuntimeMeanSec,RuntimeCI95Sec
50,Proposed IT2-W-FBRI,Proposed,1,33,0,0.788228979349846,5.03849737901095e-05,0.798040172905077,0.000427868237847723,0.666811952883288,0.000216881108545142,0.725864651893093,0.000282156733126111,0.131228220021789,0.000340173511086941,0.350094649008607,1.18735094137093e-07,0.12309464,0.00826951701469147
50,Isobe-APP,Convergence SOTA,1,42,0,0.776578723893104,4.56470768936991e-05,0.847489306483091,0.00115705819890946,0.381349236303112,0.000734848050176496,0.591112267884103,0.000862674600647269,0.466140070179978,0.000791995558382635,0.999957137281763,4.45717033776181e-08,0.06065516,0.000700899833755361
50,RQE,Robust SOTA,1,20,0,0.693632189582116,7.25345709421769e-17,0.783247578774412,0.000423586386417808,0.643089620907361,0.000167150453983125,0.706160701947534,0.000264242613175978,0.140157957867052,0.000325879597707329,0.354692318888786,3.62672854710884e-17,0.00065686,0.000584844064089778
50,MF-RQE,Robust SOTA,1,16,0,0.700842959983548,0,0.766467139665584,0.000430340559408705,0.665468120634211,0.000137106370177592,0.710917679198329,0.000255419040193494,0.100999019031372,0.000338964250061712,0.267799831318602,0,0.00051021,0.00052686334018755
50,CVaR-game,Robust SOTA,1,25,0,0.700000000000018,7.25345709421769e-17,0.715491678345086,0.00150322820043289,0.72725041392412,0.000513596123229104,0.721958982913555,0.000949675881661448,-0.0117587355790341,0.00102505583536091,3.35267154915991e-05,4.42715887098248e-21,0.00581132,0.000698519730432621
50,DRNE-VI,Robust SOTA,0,300,0,0.998198949431927,7.25345709421769e-17,0.787558840321237,0.000431663648221777,0.66707791649683,0.000393702938943527,0.721294332217813,0.000360208329907372,0.120480923824407,0.000398741143730566,0.288843548536262,0,0.00655025,0.000854012825109891
