Method,Class,CE_g030,CE_g030_CI95,CE_g040,CE_g040_CI95,CE_g055,CE_g055_CI95,CE_g070,CE_g070_CI95,CE_g085,CE_g085_CI95
Proposed IT2-W-FBRI,Proposed,0.813294298441717,4.39763107447575e-05,0.812457178672705,4.78100864404231e-05,0.811201499019187,5.61340177205894e-05,0.809945819365669,6.64915076967474e-05,0.808690139712151,7.8077412331848e-05
Isobe-APP,Convergence SOTA,0.704852791954019,0.00107925249934599,0.65847779165824,0.00100096053588664,0.588915291214571,0.000889131321227381,0.519352790770901,0.000786575594619063,0.449790290327232,0.000697396568238549
RQE,Robust SOTA,0.744180635938461,0.000384872343279703,0.72699407890943,0.000349958356875987,0.701214243365884,0.000298355053017359,0.675434407822338,0.000248183503570864,0.649654572278791,0.00020052130285458
MF-RQE,Robust SOTA,0.741207069198488,0.000277462308113854,0.729142616165577,0.000255079129652283,0.71104593661621,0.000222174573575715,0.692949257066843,0.000190444428864817,0.674852577517476,0.000160586364335412
CVaR-game,Robust SOTA,0.737745133232295,5.48063387457607e-05,0.736760309764459,5.92668323788736e-05,0.735283074562706,6.87562025862688e-05,0.733805839360953,8.05246680232812e-05,0.732328604159199,9.37175422146343e-05
DRNE-VI,Robust SOTA,0.761110485833317,0.000284275708206907,0.748658691365651,0.000260275019400852,0.729980999664151,0.000225775932200302,0.711303307962652,0.000193932325815593,0.692625616261152,0.000166276913701565
