N,Seed,Method,Class,Converged,Rounds,q_hat,FinalResidual,NativeCriterion,CommonAlphaExploitability,AvgPayoff,WorstCaseQ5,RuntimeSec,Certificate
20,42,Proposed IT2-W-FBRI,Proposed,1,22,0.6831155640435,8.72425070203332e-05,max strategy-step L1,0.057125002042039,0.892559364327929,0.867171463235169,0.0095574,base Gamma_alpha certificate; focused point empirical
20,42,Isobe-APP,Convergence SOTA,1,69,0.849530712457126,6.92784443849584e-05,outer-anchor L1,3.28843314201244e-06,0.965622509218015,0.889091369868828,0.0327077,none
20,42,RQE,Robust SOTA,1,32,0.75711465262075,7.84151114607418e-05,quantal fixed-point L1,0.0877651857582546,0.838864799497532,0.817029368454197,2.2109105,none
20,42,MF-RQE,Robust SOTA,1,29,0.728542306250493,8.44197585881321e-05,quantal fixed-point L1,0.0643011356873564,0.881358123813592,0.857316942076189,0.5294178,none
20,42,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454043e-05,mixed best-response fixed-point L1,8.34693067353065e-06,0.965615896287987,0.889076229335137,0.5182582,none
20,42,DRNE-VI,Robust SOTA,0,300,0.991721255685723,0.00506067452224113,worst-distribution exploitability,0.00424866672834412,0.961821603615627,0.896733909660957,0.0304546,none
20,43,Proposed IT2-W-FBRI,Proposed,1,22,0.683004156979912,8.71550284182142e-05,max strategy-step L1,0.0571252633398651,0.892559395785121,0.857905042534527,0.0063361,base Gamma_alpha certificate; focused point empirical
20,43,Isobe-APP,Convergence SOTA,1,69,0.849467627015188,6.91261432358558e-05,outer-anchor L1,3.28120321979597e-06,0.965622497415039,0.934451222563684,0.0106043,none
20,43,RQE,Robust SOTA,1,32,0.75711465262075,7.84151114607418e-05,quantal fixed-point L1,0.0877651857582546,0.838864799497532,0.803550293196237,0.4222102,none
20,43,MF-RQE,Robust SOTA,1,29,0.728542306250493,8.44197585881321e-05,quantal fixed-point L1,0.0643011356873564,0.881358123813592,0.845909696724087,0.4115169,none
