Gamma,AlphaStar,FamilyExpectedPayoffMean,FamilyExpectedPayoffCI95,FamilyWorstCaseQ5Mean,FamilyWorstCaseQ5CI95,FamilyCEMean,FamilyCECI95,BestAdaptiveMethod,BestAdaptiveCEMean,BestAdaptiveCECI95,FamilyMinusBestAdaptiveCE,FamilyBeatsAdaptiveEnvelope,BestFixedMethod,BestFixedCEMean,FamilyMinusBestFixedCE,FamilyBeatsFixedEnvelope,NumSeeds
0.3,1,0.769729072921263,0.000376435313584422,0.648542031898237,0.000143027450390596,0.733372960614355,0.000275281800137346,DRNE-VI,0.741091029735943,0.000438437736672193,-0.0077180691215879,0,DRNE-VI,0.741091029735943,-0.0077180691215879,0,20
0.4,1,0.769729072921263,0.000376435313584422,0.648542031898237,0.000143027450390596,0.721254256512053,0.0002437909915956,DRNE-VI,0.727353964980678,0.000439856951527391,-0.00609970846862562,0,DRNE-VI,0.727353964980678,-0.00609970846862562,0,20
0.55,0.9,0.768322177640484,0.000379767503729789,0.649998076932427,0.000121347950265627,0.703243922251053,0.000198956733607984,CVaR-game,0.721473769413831,0.000859146330035281,-0.0182298471627788,0,Proposed IT2-W-FBRI,0.721932492354564,-0.0186885701035109,0,20
0.7,0.7,0.76544177343272,0.00038749708877048,0.651699684427202,7.61743808014184e-05,0.685822311128857,0.000154933717740193,CVaR-game,0.7233119092997,0.000747849711429844,-0.037489598170843,0,Proposed IT2-W-FBRI,0.723709019718358,-0.0378867085895007,0,20
0.85,0.7,0.76544177343272,0.00038749708877048,0.651699684427202,7.61743808014184e-05,0.66876099777803,0.000110516216426305,CVaR-game,0.72515004918557,0.000643651779038868,-0.0563890514075397,0,Proposed IT2-W-FBRI,0.725485547082153,-0.0567245493041231,0,20
