GammaCE,Baseline,ProposedMinusBaselineCE,CI95Low,CI95High,ProposedWinsThisBaseline,ProposedWinsAllComparable
0.55,Isobe-APP,0.134752384008991,0.134018692763775,0.135486075254206,1,1
0.55,RQE,0.0197039499455594,0.0195890037482207,0.0198188961428981,1,1
0.55,MF-RQE,0.0149469726947646,0.0147979594368371,0.0150959859526922,1,1
0.55,CVaR-game,0.0039056689795388,0.00295529115714406,0.00485604680193354,1,1
0.55,DRNE-VI,0.00457031967528033,0.00425581934457453,0.00488482000598613,1,1
