Gamma,AlphaStar,FamilyExpectedPayoffMean,FamilyExpectedPayoffCI95,FamilyWorstCaseQ5Mean,FamilyWorstCaseQ5CI95,FamilyCEMean,FamilyCECI95,BestAdaptiveMethod,BestAdaptiveCEMean,BestAdaptiveCECI95,FamilyMinusBestAdaptiveCE,FamilyBeatsAdaptiveEnvelope,BestFixedMethod,BestFixedCEMean,FamilyMinusBestFixedCE,FamilyBeatsFixedEnvelope,NumSeeds
0.3,1,0.784401614485866,0.000416248976006773,0.648289946596563,0.000155339722321631,0.743568114119075,0.000332173407601055,DRNE-VI,0.761110485833317,0.00030356933436787,-0.0175423717142418,0,Proposed IT2-W-FBRI,0.813294298441717,-0.0697261843226419,0,20
0.4,1,0.784401614485866,0.000416248976006773,0.648289946596563,0.000155339722321631,0.729956947330145,0.000304677126393879,DRNE-VI,0.748658691365651,0.000277939732840596,-0.0187017440355057,0,Proposed IT2-W-FBRI,0.812457178672705,-0.0825002313425601,0,20
0.55,0,0.771056520169255,0.000329976842134857,0.663506718984762,0.000145012811539448,0.711904129517784,0.000221696119219545,CVaR-game,0.735283074562706,7.34226458687932e-05,-0.0233789450449222,0,Proposed IT2-W-FBRI,0.811201499019187,-0.0992973695014028,0,20
0.7,0,0.771056520169255,0.000329976842134857,0.663506718984762,0.000145012811539448,0.69577165934011,0.000194165589674884,CVaR-game,0.733805839360953,8.59898301765223e-05,-0.0380341800208427,0,Proposed IT2-W-FBRI,0.809945819365669,-0.114174160025559,0,20
0.85,0,0.771056520169255,0.000329976842134857,0.663506718984762,0.000145012811539448,0.679639189162436,0.000168305649414951,CVaR-game,0.732328604159199,0.000100078097028189,-0.0526894149967634,0,Proposed IT2-W-FBRI,0.808690139712151,-0.129050950549715,0,20
