Method,Class,RiskName,RiskValue,FocusS,Seed,ExpectedPayoff,WorstCaseQ5,SCShare,Converged,Rounds,RuntimeSec
Proposed IT2-W-FBRI,Proposed,alpha,0,10,55,0.703071901839234,0.0933280411469425,1.39726996440155e-05,1,46,0.0074302
Proposed IT2-W-FBRI,Proposed,alpha,0,15,55,0.705190060239464,0.11145283946576,2.66574759300341e-05,1,44,0.0066424
Proposed IT2-W-FBRI,Proposed,alpha,0,20,55,0.752478896182822,0.498419054038945,2.57582406050758e-05,1,44,0.0064781
Proposed IT2-W-FBRI,Proposed,alpha,0,40,55,0.79079363123074,0.804147795331985,1.21093343597573e-05,1,46,0.0108643
Proposed IT2-W-FBRI,Proposed,alpha,0.1,0,55,0.705320596997112,0.111682528697927,0.00151741016626463,1,41,0.005228
Proposed IT2-W-FBRI,Proposed,alpha,0.1,5,55,0.703072137602924,0.0933300652112753,1.86251909894426e-05,1,46,0.0076901
Proposed IT2-W-FBRI,Proposed,alpha,0.1,10,55,0.703072850147589,0.0933338761944683,1.58603675776854e-05,1,46,0.0075645
Proposed IT2-W-FBRI,Proposed,alpha,0.1,15,55,0.710478645159224,0.155795655724006,3.04378250386078e-05,1,44,0.0072398
Proposed IT2-W-FBRI,Proposed,alpha,0.1,20,55,0.761856365610014,0.574365030143977,2.94990988509099e-05,1,44,0.0070918
Proposed IT2-W-FBRI,Proposed,alpha,0.1,40,55,0.790795891677014,0.80414942183486,1.39204575481684e-05,1,46,0.0075942
Proposed IT2-W-FBRI,Proposed,alpha,0.2,0,55,0.72779806252508,0.267590764889403,0.0601391410403009,1,52,0.0082188
Proposed IT2-W-FBRI,Proposed,alpha,0.2,5,55,0.703072731150614,0.0933315004873393,2.06918710540524e-05,1,45,0.0078078
Proposed IT2-W-FBRI,Proposed,alpha,0.2,10,55,0.703081015356569,0.0934016289912264,1.79470148114186e-05,1,45,0.0074692
Proposed IT2-W-FBRI,Proposed,alpha,0.2,15,55,0.721248998776102,0.245867321936931,3.46501884193564e-05,1,44,0.007574
Proposed IT2-W-FBRI,Proposed,alpha,0.2,20,55,0.77116966139031,0.650727646368705,3.36882653977262e-05,1,44,0.0073369
Proposed IT2-W-FBRI,Proposed,alpha,0.2,40,55,0.790797718093775,0.80415076247336,1.59603452768251e-05,1,46,0.0077435
