Method,Class,CE_g030,CE_g030_CI95,CE_g040,CE_g040_CI95,CE_g055,CE_g055_CI95,CE_g070,CE_g070_CI95,CE_g085,CE_g085_CI95
Proposed IT2-W-FBRI,Proposed,0.744087977755153,0,0.734182050311576,0,0.71932315914621,0,0.704464267980844,0,0.689605376815478,0
Isobe-APP,Convergence SOTA,0.881978231641146,0,0.881314726804864,0,0.880319469550441,0,0.879324212296018,0,0.878328955041595,0
RQE,Robust SOTA,0.744736776365962,0,0.736509276791236,0,0.724168027429145,0,0.711826778067055,0,0.699485528704965,0
MF-RQE,Robust SOTA,0.722101410706282,0,0.714553858565169,0,0.703232530353498,0,0.691911202141827,0,0.680589873930157,0
CVaR-game,Robust SOTA,0.424098765467248,0,0.374100137301052,0,0.299102195051758,0,0.224104252802464,0,0.14910631055317,0
DRNE-VI,Robust SOTA,0.714196092797769,0,0.702747071295385,0,0.685573539041809,0,0.668400006788233,0,0.651226474534656,0
