Method,Iterations,DistToProposedL1,AvgPayoff,DecisionMargin,WorstCaseQ5,RuntimeSec
Proposed (closed-form),25,0,0.867923677709087,0.0516844466772268,0.867879904692077,0.010525
KM-iterative,25,0,0.867923677709087,0.0516844466772268,0.867879904692077,0.1981317
EKM-iterative,25,0,0.867923677709087,0.0516844466772268,0.867879904692077,0.1641324
Type-1 chain,23,5.48784832107918,0.870808546101465,0,0.845604246816865,0.005217
