N,Seed,Method,Class,Converged,Rounds,q_hat,FinalResidual,NativeCriterion,CommonAlphaExploitability,ExpectedPayoff,WorstCaseQ5,CE_gamma,PayoffDegradation,SCShare,RuntimeSec,DecisionAlpha,SolveDelta,Certificate
50,46,Isobe-APP,Convergence SOTA,1,42,0.778416349807857,9.80358604239246e-05,outer-anchor L1,7.24197153356698e-08,0.850759044978407,0.381849419825268,0.592858751144181,0.468909625153139,0.99995266671164,0.0046547,1,0,none
50,46,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.798281136976218,0.624758649227747,0.702843768714559,0.173522487748471,0.389135510165119,0.2568439,1,0.2,none
50,46,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.779195369888751,0.65756817189309,0.712300410991138,0.121627197995661,0.273686363205582,0.2163185,1,0.2,none
50,46,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.740531473036172,0.730907241485047,0.735238145683053,0.00962423155112491,1.14996634136185e-05,0.0973615,1,0.2,none
50,46,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.800306701056766,0.674324927277409,0.73101672547812,0.125981773779357,0.288843548536262,0.0061337,1,0.2,none
50,47,Proposed IT2-W-FBRI,Proposed,1,45,0.856588409196752,7.73351488043466e-05,max strategy-step L1,0.0101278438581945,0.815826794227521,0.807453509696286,0.811221487735342,0.00837328453123543,2.35920252915969e-05,0.0079666,0.5,0.2,base Gamma_alpha certificate; focused point empirical
50,47,Isobe-APP,Convergence SOTA,1,42,0.778476212829327,9.81436152675066e-05,outer-anchor L1,7.24987345712691e-08,0.847074380595523,0.38170223101594,0.591119698326752,0.465372149579583,0.999952543715388,0.0040659,1,0,none
50,47,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.79680161415659,0.624036398137265,0.701780745345961,0.172765216019325,0.389135510165119,0.2739175,1,0.2,none
50,47,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.778131534145481,0.656906098306743,0.711457544434175,0.121225435838738,0.273686363205582,0.2272732,1,0.2,none
50,47,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.740725504881139,0.731201463105857,0.735487281904734,0.00952404177528166,1.14996634136185e-05,0.0987673,1,0.2,none
50,47,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.799243735754694,0.674094975071904,0.73041191737916,0.12514876068279,0.288843548536262,0.0064136,1,0.2,none
50,48,Proposed IT2-W-FBRI,Proposed,1,45,0.856761812486029,7.73351491588259e-05,max strategy-step L1,0.0101278438619287,0.815849224633053,0.807872994456901,0.81146229803617,0.00797623017615201,2.35920047252718e-05,0.0079035,0.5,0.2,base Gamma_alpha certificate; focused point empirical
50,48,Isobe-APP,Convergence SOTA,1,42,0.778476763849789,9.81558337837601e-05,outer-anchor L1,7.25080543384493e-08,0.83904404530962,0.378654530393831,0.585829812105936,0.460389514915789,0.999952661467819,0.0048503,1,0,none
50,48,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.793887565269554,0.623583888800471,0.700220543211558,0.170303676469083,0.389135510165119,0.2580382,1,0.2,none
50,48,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.776076817678554,0.65641342326695,0.710261950752172,0.119663394411604,0.273686363205582,0.2188558,1,0.2,none
50,48,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.740563596541819,0.730331371341769,0.734935872681791,0.0102322252000498,1.14996634136185e-05,0.0976201,1,0.2,none
50,48,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.797115838808685,0.673315371846504,0.729025581979486,0.123800466962181,0.288843548536262,0.0080301,1,0.2,none
