Gamma,Baseline,BaselineClass,BaselineBestRisk,BaselineFrontierCE,ProposedBestAlpha,ProposedBestFocusS,ProposedFrontierCE,ProposedMinusBaselineMean,CI95Low,CI95High,ProposedDominates
0.3,Isobe-APP,Convergence SOTA,NaN,0.881978231641146,1,0,0.759451559375797,-0.122526672265349,-0.122526672265349,-0.122526672265349,0
0.3,RQE,Robust SOTA,20,0.745965395119084,1,0,0.759451559375797,0.0134861642567123,0.0134861642567123,0.0134861642567123,1
0.3,MF-RQE,Robust SOTA,1,0.727426028339171,1,0,0.759451559375797,0.0320255310366258,0.0320255310366258,0.0320255310366258,1
0.3,CVaR-game,Robust SOTA,0.7,0.881968249218733,1,0,0.759451559375797,-0.122516689842936,-0.122516689842936,-0.122516689842936,0
0.3,DRNE-VI,Robust SOTA,0.3,0.802543094155645,1,0,0.759451559375797,-0.0430915347798482,-0.0430915347798482,-0.0430915347798482,0
0.4,Isobe-APP,Convergence SOTA,NaN,0.881314726804864,1,0,0.748466085681675,-0.132848641123189,-0.132848641123189,-0.132848641123189,0
0.4,RQE,Robust SOTA,20,0.737783456032765,1,0,0.748466085681675,0.0106826296489099,0.0106826296489099,0.0106826296489099,1
0.4,MF-RQE,Robust SOTA,1,0.719468209915364,1,0,0.748466085681675,0.0289978757663104,0.0289978757663104,0.0289978757663104,1
0.4,CVaR-game,Robust SOTA,0.7,0.8813051556939,1,0,0.748466085681675,-0.132839070012226,-0.132839070012226,-0.132839070012226,0
0.4,DRNE-VI,Robust SOTA,0.3,0.791406967491088,1,0,0.748466085681675,-0.0429408818094129,-0.0429408818094129,-0.0429408818094129,0
0.55,Isobe-APP,Convergence SOTA,NaN,0.880319469550441,1,0,0.731987875140492,-0.14833159440995,-0.14833159440995,-0.14833159440995,0
0.55,RQE,Robust SOTA,20,0.725510547403285,1,0,0.731987875140492,0.00647732773720633,0.00647732773720633,0.00647732773720633,1
0.55,MF-RQE,Robust SOTA,1,0.707531482279654,1,0,0.731987875140492,0.0244563928608376,0.0244563928608376,0.0244563928608376,1
0.55,CVaR-game,Robust SOTA,0.7,0.880310515406651,1,0,0.731987875140492,-0.14832264026616,-0.14832264026616,-0.14832264026616,0
0.55,DRNE-VI,Robust SOTA,0.3,0.774702777494251,1,0,0.731987875140492,-0.0427149023537599,-0.0427149023537599,-0.0427149023537599,0
0.7,Isobe-APP,Convergence SOTA,NaN,0.879324212296018,1,0,0.715509664599308,-0.16381454769671,-0.16381454769671,-0.16381454769671,0
0.7,RQE,Robust SOTA,20,0.713237638773806,1,0,0.715509664599308,0.00227202582550257,0.00227202582550257,0.00227202582550257,1
0.7,MF-RQE,Robust SOTA,1,0.695594754643944,1,0,0.715509664599308,0.0199149099553646,0.0199149099553646,0.0199149099553646,1
0.7,CVaR-game,Robust SOTA,0.7,0.879315875119402,1,0,0.715509664599308,-0.163806210520094,-0.163806210520094,-0.163806210520094,0
0.7,DRNE-VI,Robust SOTA,0.3,0.757998587497415,1,0,0.715509664599308,-0.0424889228981069,-0.0424889228981069,-0.0424889228981069,0
0.85,Isobe-APP,Convergence SOTA,NaN,0.878328955041595,1,0,0.699031454058125,-0.17929750098347,-0.17929750098347,-0.17929750098347,0
0.85,RQE,Robust SOTA,20,0.700964730144326,1,0,0.699031454058125,-0.00193327608620109,-0.00193327608620109,-0.00193327608620109,0
0.85,MF-RQE,Robust SOTA,1,0.683658027008234,1,0,0.699031454058125,0.0153734270498918,0.0153734270498918,0.0153734270498918,1
0.85,CVaR-game,Robust SOTA,0.7,0.878321234832154,1,0,0.699031454058125,-0.179289780774028,-0.179289780774028,-0.179289780774028,0
0.85,DRNE-VI,Robust SOTA,0.3,0.741294397500579,1,0,0.699031454058125,-0.042262943442454,-0.042262943442454,-0.042262943442454,0
