Gamma,AlphaStar,FamilyExpectedPayoffMean,FamilyExpectedPayoffCI95,FamilyWorstCaseQ5Mean,FamilyWorstCaseQ5CI95,FamilyCEMean,FamilyCECI95,BestAdaptiveMethod,BestAdaptiveCEMean,BestAdaptiveCECI95,FamilyMinusBestAdaptiveCE,FamilyBeatsAdaptiveEnvelope,BestFixedMethod,BestFixedCEMean,FamilyMinusBestFixedCE,FamilyBeatsFixedEnvelope,NumSeeds
0.3,1,0.753807367150291,0,0.672613051784418,0,0.729449072540529,0,Isobe-APP,0.881978231641146,0,-0.152529159100617,0,Isobe-APP,0.881978231641146,-0.152529159100617,0,1
0.4,1,0.753807367150291,0,0.672613051784418,0,0.721329641003942,0,Isobe-APP,0.881314726804864,0,-0.159985085800922,0,Isobe-APP,0.881314726804864,-0.159985085800922,0,1
0.55,1,0.753807367150291,0,0.672613051784418,0,0.709150493699061,0,Isobe-APP,0.880319469550441,0,-0.17116897585138,0,Isobe-APP,0.880319469550441,-0.17116897585138,0,1
0.7,1,0.753807367150291,0,0.672613051784418,0,0.69697134639418,0,Isobe-APP,0.879324212296018,0,-0.182352865901838,0,Isobe-APP,0.879324212296018,-0.182352865901838,0,1
0.85,1,0.753807367150291,0,0.672613051784418,0,0.684792199089299,0,Isobe-APP,0.878328955041595,0,-0.193536755952296,0,Isobe-APP,0.878328955041595,-0.193536755952296,0,1
