N,Seed,Method,Class,Converged,Rounds,q_hat,FinalResidual,ExpectedPayoff,WorstCaseQ5,CE_gamma,PayoffDegradation,SCShare,RuntimeSec,DecisionAlpha,SolveDelta,Certificate
20,42,Proposed IT2-W-FBRI,Proposed,1,32,0.787832612662525,9.7210476829028e-05,0.773805760085885,0.674746485650112,0.71932315914621,0.0990592744357731,0.365441852101036,0.0813094,0.85,0.2,tail-calibrated IT2 lower-bound
20,42,Isobe-APP,Convergence SOTA,1,42,0.77378364383279,1.06583271740647e-05,0.883968746149992,0.877333697787173,0.880319469550441,0.00663504836281914,0.999963072354564,0.031436,1,0,none
20,42,RQE,Robust SOTA,1,20,0.693748427213518,7.31550039714812e-05,0.769419275090143,0.687144279342874,0.724168027429145,0.0822749957472688,0.355963653815577,0.0065958,1,0.2,none
20,42,MF-RQE,Robust SOTA,1,16,0.700842959983548,9.73831485704679e-05,0.744744067129623,0.669268545718486,0.703232530353498,0.0754755214111373,0.267799831318602,0.0039928,1,0.2,none
20,42,CVaR-game,Robust SOTA,1,25,0.700000000000018,8.62115541213087e-05,0.574094649965837,0.0741083683038757,0.299102195051758,0.499986281661961,3.35267154915991e-05,0.0107526,1,0.2,none
20,42,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,0.748543157304921,0.63405294228108,0.685573539041809,0.114490215023841,0.288843548536262,0.0123226,1,0.2,none
