epsilon_g,LambdaMaxTangent,Oscillation_Tw,DSlow_T,GInfNorm_T,FinalAvgPayoff,FinalOmega
0.0001,-0.0943003506013025,2.20486773511171e-06,9.42993872378089e-05,0.138931690858393,0.537581240564517,[0.150 0.150 0.151 0.349 0.200]
0.001,-0.0919056401120333,2.37233033866743e-06,0.000106450416934121,0.128302370599687,0.535710858048592,[0.154 0.154 0.155 0.336 0.200]
0.01,-0.0776149498980351,4.17020540199154e-06,0.000254458422262609,0.0457794459881679,0.524582252522879,[0.178 0.178 0.183 0.263 0.197]
